id,tier,company,country,city_region,buyer_type,est_portfolio,decision_maker,website,email,phone_whatsapp,best_channel,contact_status,why_they_fit
12,A,Triang Villas,Indonesia,"Berawa / Pererenan / Canggu",Villa management + real estate,Mid,Owner,triangvillas.com,,,WhatsApp,Website only — pull contact from site,"Rental + sales in Bali's hottest zones. Sales listings need walkthroughs even more than rentals do."
13,B,My Villa Management,Indonesia,"Umalas / Canggu",Villa rental + management,Small-Mid,Owner,myvillamanagement.com,,,WhatsApp,Address published — pull contact from site,"Umalas-based boutique operator. Jalan Bumbak 140, Gang Pulau Roti, Umalas. Small enough that the owner reads every message."
14,B,VPM Bali (Villa Property Management),Indonesia,Bali-wide,Villa management,Mid,Owner,vpmbali.com,,,Email,Website only — pull contact from site,"Pure-play property management service — content is an obvious gap in their owner-acquisition pitch."
15,B,Bali Coconut Living,Indonesia,"Umalas / Canggu",Long-term rental + villa management,Mid,Owner,balicoconutliving.com,,,WhatsApp,Website only — pull contact from site,"Long-term + villa management. Long-stay listings convert hard on video — under-served niche for you."
16,B,Secluded Bali Villas,Indonesia,Bali-wide,Villa management,Small-Mid,Owner,secludedbalivillas.com,,,Email,Website only — pull contact from site,"'Secluded' positioning is inherently visual — the whole brand promise needs video to land."
17,B,Balitecture,Indonesia,"Canggu / Uluwatu",Architecture + villa management,Small-Mid,Founder,balitecture.com,,,Email,Website only — pull contact from site,"Architecture firm that also manages. Architects sell renders — AI walkthroughs are a natural upsell they already understand."
18,B,Bali Luxury Villas,Indonesia,"Seminyak / Umalas",Villa rental + management,Large (since 1999),Owner,baliluxuryvillas.com,,,Live chat / email,Website only — pull contact from site,"Operating since 1999, 71+ Seminyak villas listed. Deep portfolio, legacy photo library ready to convert to video."
19,B,Gajah Bali Villas,Indonesia,Bali-wide,Villa rental + management,Small-Mid,Owner,gajahvillasbali.com,,,Email,Contact page published — pull details,"Boutique villa collection. Small portfolio means a single owner decision and a fast yes."
20,A,Inter Property Phuket,Thailand,"Phuket (Thalang) + Koh Samui",Villa + property management,500+ properties,Managing Director,interpropertyphuket.com,info@interpropertyphuket.com,+66 64 589 7990,Email then call,Email + phone + 2 offices published,"500+ properties across 7 countries. Largest portfolio on this list. Offers a guaranteed-income program = they are measured on booking performance, which video directly improves."
21,A,Mr Property Siam,Thailand,Koh Samui (Bophut),Luxury villa management,Mid,Owner,mrpropertysiam.com,,,Contact form / WhatsApp,Contact page published — pull details,"Luxury villa management team offering free owner consultations — actively courting new owners, needs pitch assets."
22,A,Horizon Homes Samui,Thailand,Koh Samui,Property management,Mid-Large,Founder (since 2010),horizonhomes-samui.com,,,Email,Website only — pull contact from site,"One of the oldest managers on Samui (since 2010). Established portfolio, stable budget."
23,B,Estate Samui Properties,Thailand,Koh Samui,Villa management + marketing,Mid,Owner,estate-samui-properties.com,,,Email,Website only — pull contact from site,"Explicitly sells 'villa marketing and booking management' — video slots straight into their existing service line."
24,B,SP Villa Management,Thailand,Koh Samui,Villa management,Small-Mid,Owner,sp-villa-management.com,,,Email,Website only — pull contact from site,"French-language ops on Samui. Boutique, owner-run, quick decisions."
25,B,LUXE Samui,Thailand,Koh Samui,Luxury villa rental,Mid,Founder,luxesamui.com,,,Email,Website only — pull contact from site,"Luxury positioning with a dedicated Guest Experience team — high content standards, willing to pay for quality."
26,B,Siam Luxury Villas,Thailand,Phuket + Koh Samui,Luxury villa rental + real estate,Mid,Owner,siamluxuryvillas.com,,,Email,Website only — pull contact from site,"Rentals AND real estate sales across two islands. Dual use case for every video you make."
27,B,Property Management Phuket,Thailand,Phuket + Koh Samui,Property management,Mid,Director,propertymanagementphuket.com,,,Email,Website only — pull contact from site,"Positions around 'enhancing real estate value' — a walkthrough video is a direct, provable value-add to that pitch."
28,B,Thailand Retreats,Thailand,"Phuket / Samui / Krabi",Luxury villa rental,Large,Director,thailandretreats.com,,,Email,Website only — pull contact from site,"ABTA member, large multi-island luxury portfolio. Bigger ticket, longer cycle — worth one email."
29,A,Deluxe Holiday Homes,UAE,Dubai,Holiday homes management,Large,Founder / CEO,deluxehomes.com,,+971 4 392 0202,Call then email,Phone published — email on site,"One of Dubai's largest licensed holiday-home operators. Dubai STR market is fiercely competitive on listing quality — video is a direct edge and budgets are real."
30,A,Elite LUX Holiday Homes,UAE,Dubai,Holiday homes management,Mid-Large,Founder,eliteluxhomes.ae,info@eliteluxhomes.ae,+971 4 818 2300,Email then call,Email + phone published,"Direct info@ email published. 'Elite/LUX' positioning means they must look premium in every listing — easy sell."
31,A,WeHost Dubai,UAE,Dubai,Holiday homes management,Mid,Founder,wehostdubai.com,info@wehostdubai.com,+971 52 107 3481,WhatsApp,Email + mobile published,"Mobile number published = WhatsApp reachable. Mid-size operator, founder-led, no procurement layer."
32,A,Welhome,UAE,Dubai,Holiday homes / vacation rental mgmt,Mid-Large,Founder,wel-home.com,,+971 56 110 6007,WhatsApp,WhatsApp published,"WhatsApp published directly. Fast-growing Dubai STR manager, exactly the 'owner picks up the phone' profile you want."
33,B,MyStay Rental,UAE,Dubai,Luxury holiday rentals,Mid,Owner,mystayrental.com,,+971 56 935 7070,WhatsApp,Mobile published,"Luxury/monthly rentals. Longer stays are sold on lifestyle imagery — walkthrough video is the natural format."
34,B,Frank Porter,UAE,Dubai (Barsha Heights),Airbnb property management,Large,Founder,frankporter.com,,,Email / LinkedIn,Office address published — contact page on site,"Well-funded, VC-backed Dubai Airbnb manager (Sheikha Noora Tower, Office 303). Bigger ticket, has a marketing lead to route to."
35,B,Suiteable,UAE,Dubai,Holiday homes management,Small-Mid,Founder,suiteable.ae,,,Email,Website only — pull contact from site,"Newer boutique operator — hungriest tier, most likely to try a cheap high-impact content test."
36,B,DAIFY Holiday Homes,UAE,Dubai,Holiday homes rental agency,Small-Mid,Founder,daifyhomes.com,,,Email / WhatsApp,Website only — pull contact from site,"Self-describes as a nominated top Dubai holiday-home agency — reputation-conscious, invests in presentation."
37,A,360 Blue,USA,"30A / Destin, Florida",Vacation rental management,Large,VP Management,360blue.com,management@360blue.com,+1 850-598-8360,Email,Direct dept email + phone published,"management@ is a real routed inbox, not a generic form. Emerald Coast luxury portfolio — the highest per-video budget tier on this list."
38,A,Ocean Reef Resorts,USA,"Seacrest Beach / 30A, Florida",Vacation rental management,Large,Todd (named contact),oceanreefresorts.com,Todd@OceanReefResorts.com,+1 850-837-3935,Email,Named personal email + phone published,"Named individual's work email published on their own site — highest-quality direct line in this entire list. Address: 9961 Scenic Hwy 30A."
39,A,Sea Breeze Management of NW Florida,USA,"Santa Rosa Beach, Florida",Vacation rental management,Mid,Gordon Tarver (named),seabreeze-fl.com,gordon.tarver@seabreeze-fl.com,+1 850-534-0024,Email,Named personal email + phone published,"Named decision-maker's direct work email. Mid-size = he personally signs off on marketing spend. 45 Sugar Sand Lane, Ste C."
40,A,Southern Resorts,USA,"Destin, Florida",Vacation rental management,Large,Owner,southernresorts.com,stay@southernresorts.com,+1 800-737-2322,Email then call,Email + toll-free published,"Large Destin operator. 4608 Opa-Locka Ln, Ste 100. High-volume portfolio, strong marketing budget."
41,A,Cabins of the Smoky Mountains (Venture Resorts),USA,"Gatlinburg / Pigeon Forge / Sevierville, TN",Cabin rental management,200+ cabins,Marketing Director,cabinsofthesmokymountains.com,,+1 866-347-6659,Call then email,Toll-free published,"Largest cabin agency in the Smokies, 200+ cabins. Runs a dedicated owner-acquisition page — content is part of how they win owners."
42,B,Bliss Vacations,USA,"Gatlinburg, TN",Cabin rental management,Mid,Owner,blissvacationsnow.com,,+1 865-900-6514,Call,Phone published,"Owner-operated Gatlinburg manager. Small enough for a direct owner conversation."
43,B,Elk Springs Resort,USA,"Gatlinburg, TN",Cabin rental resort,Mid-Large,Owner,elkspringsresort.com,,+1 865-233-2390,Call,Phone published,"Premium Gatlinburg cabin resort. Luxury cabins sell on interiors — walkthrough format fits perfectly."
44,B,Stony Brook Cabins,USA,"Gatlinburg, TN",Cabin rental management,Mid,Pam (named contact),stonybrooklodging.com,,+1 800-633-5652 ext.102,Call,Named contact + extension published,"Named contact 'Pam' handles cabin-owner relations — the exact person who commissions owner-facing marketing."
45,A,Casago Orlando,USA,"Kissimmee / Orlando, Florida",Vacation home management,Large,Regional Owner,casagoorlando.com,,+1 407-777-2224,Call then email,Phone + address published,"Franchise-model manager near Disney. 1420 Celebration Blvd, Ste 200. High listing turnover = recurring video need."
46,A,Wonder Vacation Homes,USA,"Kissimmee / Orlando, Florida",Vacation home management,Mid-Large,Owner,wondervacationhomes.com,,+1 321-284-9858 (WhatsApp),WhatsApp,Phone + WhatsApp published,"Publishes a WhatsApp number — rare for a US operator and a much warmer channel than cold email. 1101 Miranda Ln #112."
47,B,Florida Vacation Homes (Solara Resort),USA,"Kissimmee, Florida",Vacation home rental,Mid,Reservations Manager,solararesortflorida.com,reservations@solararesortflorida.com,+1 407-641-2695,Email,Email + phone published,"Resort-community rentals near Disney. Standardised homes = you can template the video style and scale fast."
48,B,Hi-Desert Dwellings,USA,"Joshua Tree, California",STR property management,Small-Mid,Owner,hidesertdwellings.com,hddinquiry@gmail.com,,Email,Email published,"Gmail-based inbox = tiny owner-run operation, founder reads every email. Joshua Tree is the most design-forward STR market in the US."
49,A,Byron Bay Holiday Rentals / A Perfect Stay,Australia,"Byron Bay, NSW",Holiday rental management,Large,Property Mgmt Lead,byronbayholidayrentals.com.au,pm@aperfectstay.com.au,+61 2 6684 7728,Email,Dept email + phone + address published,"Byron's leading luxury holiday-let agency. 1/31 Lawson St. AUD budgets are strong and the market is entirely Instagram-driven."
50,A,BlueVillas Collection,Greece,"Santorini / Mykonos",Luxury villa rental + management,Large,Founder,bluevillascollection.com,info@bluevillascollection.com,+30 210 483 6802,Email,Email + 2 phone lines + address published,"Luxury Greek island villas — the most visually saleable product category there is. Separate reservations line (+30 210 483 6823) shows real operational scale."
